Timestamp,Please enter your name.,On which criterion are you scoring candidates?,Please score each candidate based on your judgment of how well the candidate fits the criterion. [R1],Please score each candidate based on your judgment of how well the candidate fits the criterion. [R2],Please score each candidate based on your judgment of how well the candidate fits the criterion. [R3],Please score each candidate based on your judgment of how well the candidate fits the criterion. [R4],Please score each candidate based on your judgment of how well the candidate fits the criterion. [R5],Please score each candidate based on your judgment of how well the candidate fits the criterion. [R6],Please score each candidate based on your judgment of how well the candidate fits the criterion. [R7],Please score each candidate based on your judgment of how well the candidate fits the criterion. [R8],Please score each candidate based on your judgment of how well the candidate fits the criterion. [m1],Please score each candidate based on your judgment of how well the candidate fits the criterion. [m2],Please score each candidate based on your judgment of how well the candidate fits the criterion. [m3],Please score each candidate based on your judgment of how well the candidate fits the criterion. [m4],Please score each candidate based on your judgment of how well the candidate fits the criterion. [m5],(Optional) Use the space below to share any general comments on the ease or difficulty of applying this criterion given the information on candidates that was provided at this stage. 
2022/03/16 12:19:03 PM AST,James,"8. Absence of a significant, well-funded, current resilience planning effort",promising,promising,promising,promising,promising,promising,promising,promising,promising,promising,promising,promising,promising,
2022/03/16 12:23:58 PM AST,James,9. Presence of a population base that includes a high degree of social vulnerability,promising,promising,promising,promising,promising,promising,promising,promising,promising,middling,promising,promising,promising,
2022/03/16 12:37:51 PM AST,James,10. Enthusiasm and capacity for participating in sustained engagement over the MACH timeframe,unable to assess,unable to assess,unable to assess,unable to assess,unable to assess,unable to assess,unable to assess,unable to assess,unable to assess,unable to assess,unable to assess,unable to assess,unable to assess,"Stakeholder Engagement Team did not interview residents as part of this initial stakeholder engagement.  We did not interview local officials who have jurisdiction in any of these locations as part of this initial stakeholder engagement process.  As a result, this list reflects input we received from key informants as to locations that may be good MACH candidates and where local residents and officials MAY BE amenable to engagement in MACH."
2022/03/16 12:54:17 PM AST,Robert,"2. Sensitivity to coastal flooding and other climate hazards, including the confluence of multiple hazards (H1)",promising,middling,promising,unpromising,middling,middling,promising,promising,middling,middling,middling,promising,unpromising,"Don't know any of the areas myself so had to rely a lot on info provided in the sheet, especially maps, free form comments, and flood exposure info; it was very helpful. Did additional cross checks with SLR viewers and checked in with colleagues when I knew they had done work in the area. "
2022/03/16 12:58:59 PM AST,James,11. Availability of partners and plausible funding sources to support implementation,unable to assess,unable to assess,unable to assess,unable to assess,unable to assess,unable to assess,unable to assess,unable to assess,unable to assess,unable to assess,unable to assess,unable to assess,unable to assess,"We view the issues of partners and plausible funding as two different items.  

With regard to partners, some potential partners were identified and noted in the homework documents; in other cases, when we identified our criteria for decision problem/locations to key informants, we explained that part of the criteria included interest in participating in MACH.  As such, we assume that all of the locations on the list have the potential for partnerships.

 With regard to plausible funding, we expressly excluded the only programs in the state for which funds have currently been earmarked for implementation (Rebuild by Design-funded Resilient NJ regions).  The question as to whether funds are CURRENTLY available for implementation is unknown."
2022/03/16 1:04:42 PM AST,Robert,3. Sensitivity to changing landforms (H1),promising,unpromising,promising,unpromising,middling,middling,promising,promising,middling,promising,promising,promising,unpromising,"For this category I mostly relied on the maps and to some extend the comments (when they touched on relevant aspects); there are two types of landscape evolution problems in my mind, one is related to barrier island evolution and the other one to (anthropogenic) geomorphological impacts to estuaries and tidal rivers; so I rated places highly that had at least one of those to offer. "
2022/03/16 1:10:26 PM AST,James,12. Complementarity and absence of overlap with existing climate decision support projects,promising,promising,promising,promising,promising,promising,promising,promising,promising,promising,promising,promising,promising,
2022/03/17 3:42:57 PM AST,Michael,"4. Feedbacks among household decision making about adaptation, municipal finance, housing markets, and insurance markets (H2)",promising,middling,unpromising,middling,promising,unpromising,unpromising,middling,unpromising,promising,promising,promising,unpromising,
2022/03/17 3:46:19 PM AST,Michael,5. Potential for analysis to address JEDI,promising,middling,middling,middling,promising,unpromising,middling,unpromising,middling,middling,promising,promising,middling,
2022/03/18 2:21:53 PM AST,David,12. Complementarity and absence of overlap with existing climate decision support projects,promising,middling,promising,middling,middling,promising,middling,middling,promising,middling,middling,middling,middling,"If any of the regions noted in the LOPP for any of the ""Participation in other Resilience Programs"", I said ""middling"".  Not sure what ""complimentary"" meant in this context. "
